School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
CHIMACUM HIGH SCHOOL,2015-16,375,76.3,9.9,0.5,8,1.6,0,6.9,5.1,6.9,5.9,8.3,0,286,37,2,30,6,0,26,19,26,22,31,0,Y,CHIMACUM SCHOOL DISTRICT,PO BOX 278,CHIMACUM,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
CHIMACUM MIDDLE SCHOOL,2015-16,210,77.1,12.9,0.5,11.9,0.5,0,5.7,4.3,6.7,5.2,6.7,9,162,27,1,25,1,0,12,9,14,11,14,19,Y,CHIMACUM SCHOOL DISTRICT,PO BOX 278,CHIMACUM,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,N,Y
CHINOOK ELEMENTARY SCHOOL,2015-16,467,87.6,0.9,0.6,0.2,0,0,0.4,0.4,0.4,0.4,0.6,0.6,409,4,3,1,0,0,2,2,2,2,3,3,Y,AUBURN SCHOOL DISTRICT,3502 AUBURN WAY S,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CHINOOK ELEMENTARY SCHOOL,2015-16,708,91.2,4.1,0.3,3.5,0.3,0,3.2,3.1,3.4,3.2,3.2,3.8,646,29,2,25,2,0,23,22,24,23,23,27,Y,VANCOUVER SCHOOL DISTRICT,1900 NW BLISS RD,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
CHINOOK MIDDLE SCHOOL,2015-16,611,91,2.5,0.7,1,0.8,0,0.8,0.8,1.3,0.3,1.1,0.8,556,15,4,6,5,0,5,5,8,2,7,5,Y,HIGHLINE SCHOOL DISTRICT,18650 42ND AVE S,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
CHINOOK MIDDLE SCHOOL,2015-16,1005,85.2,5.1,1,3.9,0.4,0,2.9,2.8,2.6,2.4,3,3.4,856,51,10,39,4,0,29,28,26,24,30,34,Y,NORTH THURSTON PUBLIC SCHOOLS,4301 6TH AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,7-8,N,N
CHINOOK MIDDLE SCHOOL,2015-16,1030,79.5,9.8,4.6,5.7,0.2,0,3.1,3.1,2.1,2.1,3,7,819,101,47,59,2,0,32,32,22,22,31,72,Y,BELLEVUE SCHOOL DISTRICT,2001  98TH AVENUE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
CHLOE CLARK ELEMENTARY,2015-16,606,90.3,2.3,0.5,1.5,0.2,0.2,1.3,1.3,1.5,2,1.3,1.7,547,14,3,9,1,1,8,8,9,12,8,10,Y,STEILACOOM HIST. SCHOOL DISTRICT,1700 PALISADE BOULEVARD,DUPONT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -3,Y,N
CHOICE,2015-16,10,80,20,0,20,0,0,20,20,20,20,20,0,8,2,0,2,0,0,2,2,2,2,2,0,Y,RIVERVIEW SCHOOL DISTRICT,32302 NE 50TH ST,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-10,N,N
CHOICE ACADEMY,2015-16,137,90.5,5.8,0,5.8,0,0,5.8,5.8,5.8,5.8,5.8,0,124,8,0,8,0,0,8,8,8,8,8,0,Y,HIGHLINE SCHOOL DISTRICT,18367 8TH AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
CHOICE ALTERNATIVE SCHOOL,2015-16,249,85.1,2.8,0.8,2,0,0,2.4,2.4,0.8,1.6,0.8,0,212,7,2,5,0,0,6,6,2,4,2,0,Y,SHELTON SCHOOL DISTRICT,807 W. PINE ST.,SHELTON,MASON,EDUCATIONAL SERVICE DISTRICT 113,K -12,Y,Y
CHRIST THE KING LUTHERAN SCHOOL,2015-16,56,78.6,3.6,0,3.6,0,0,3.6,3.6,3.6,3.6,3.6,3.6,44,2,0,2,0,0,2,2,2,2,2,2,Y,CENTRAL KITSAP SCHOOL DISTRICT,8065 CHICO WAY NW,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y
CHRIST THE KING SCHOOL,2015-16,180,99.4,0.6,0,0.6,0,0,0.6,0.6,0.6,0.6,0.6,0.6,179,1,0,1,0,0,1,1,1,1,1,1,Y,SEATTLE PUBLIC SCHOOLS,415 N 117TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CHRIST THE KING SCHOOL,2015-16,450,98.7,1.3,0.4,0.9,0,0,1.1,1.1,1.3,1.1,0.7,1.3,444,6,2,4,0,0,5,5,6,5,3,6,Y,RICHLAND SCHOOL DISTRICT,1122 LONG AVE,RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
CHRISTENSEN ELEMENTARY,2015-16,463,94.6,2.2,0.2,1.7,0.2,0,1.9,1.9,2.2,1.9,1.9,2.2,438,10,1,8,1,0,9,9,10,9,9,10,Y,FRANKLIN PIERCE SCHOOL DISTRICT,10232 BARNES LANE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CHRISTIAN FAITH SCHOOL,2015-16,248,84.3,15.7,0.4,14.9,0.4,0,13.3,13.3,14.1,14.5,13.3,14.9,209,39,1,37,1,0,33,33,35,36,33,37,Y,FEDERAL WAY SCHOOL DISTRICT,33645 20TH AVE S,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
CHRISTIAN HERITAGE SCHOOL,2015-16,56,73.2,26.8,0,26.8,0,0,21.4,21.4,21.4,17.9,26.8,26.8,41,15,0,15,0,0,12,12,12,10,15,15,Y,REARDAN-EDWALL SCHOOL DISTRICT,48009 IDA AVE E,EDWALL,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y
CHRISTIAN WORSHIP CENTER ELEMENTARY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,ZILLAH SCHOOL DISTRICT,204 CHEYNE RD,ZILLAH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-12,Y,Y
CHRYSALIS SCHOOL (9-12),2015-16,123,83.7,16.3,0,16.3,0,0,4.9,3.3,7.3,4.9,4.9,6.5,103,20,0,20,0,0,6,4,9,6,6,8,Y,NORTHSHORE SCHOOL DISTRICT,18720 142ND AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CHRYSALIS SCHOOL (K-8),2015-16,70,77.1,22.9,2.9,20,0,0,12.9,11.4,14.3,12.9,11.4,12.9,54,16,2,14,0,0,9,8,10,9,8,9,Y,NORTHSHORE SCHOOL DISTRICT,17005 140TH AVE NE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
CLALLAM BAY HIGH AND ELEMENTARY,2015-16,111,93.7,6.3,0,6.3,0,0,3.6,3.6,3.6,3.6,6.3,4.5,104,7,0,7,0,0,4,4,4,4,7,5,Y,CAPE FLATTERY SCHOOL DISTRICT,16933 HWY 112,CLALLAM BAY,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y
CLARK COUNTY SKILLS CENTER,2015-16,684,7.6,2.8,0.6,2.2,0,0,2.5,1.8,2.5,2.3,2.2,0,52,19,4,15,0,0,17,12,17,16,15,0,Y,EVERGREEN SCHOOL DISTRICT (CLARK),12200 NE 28TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
CLARK ELEMENTARY,2015-16,677,93.8,5.6,0.7,4.9,0.1,0,2.5,2.7,3.5,3.4,4,4.9,635,38,5,33,1,0,17,18,24,23,27,33,Y,ISSAQUAH SCHOOL DISTRICT,500 2ND AVE SE,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
CLARKSTON (CHARLES FRANCIS ADAMS) HIGH SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,CLARKSTON SCHOOL DISTRICT,401 CHESTNUT ST,CLARKSTON,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CLE ELUM ROSLYN ELEMENTARY,2015-16,384,93.8,5.7,0.8,4.9,0,0,4.2,4.2,4.4,4.9,4.7,3.9,360,22,3,19,0,0,16,16,17,19,18,15,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,2696 SR 903,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
CLE ELUM ROSLYN HIGH SCHOOL,2015-16,271,95.6,3.7,1.1,2.2,0.4,0,2.2,1.1,1.5,2.6,2.2,0,259,10,3,6,1,0,6,3,4,7,6,0,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,2692 SR 903,CLE ELUM,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CLEAR CREEK ELEMENTARY SCHOOL,2015-16,559,97.7,2,0.5,1.3,0.2,0,1.1,1.1,1.4,1.4,1.1,1.3,546,11,3,7,1,0,6,6,8,8,6,7,Y,CENTRAL KITSAP SCHOOL DISTRICT,3999 NW SUNDE ROAD,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y
CLEAR LAKE ELEMENTARY SCHOOL,2015-16,262,76.3,20.2,1.5,16.4,2.3,0,13,13,13.7,14.9,14.1,16.8,200,53,4,43,6,0,34,34,36,39,37,44,Y,SEDRO-WOOLLEY SCHOOL DISTRICT,PO BOX 128,CLEAR LAKE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
CLEVELAND HIGH SCHOOL,2015-16,831,85.4,12,10.5,1.9,0.1,0.1,0.8,0.8,1.3,0.8,1.6,10.5,710,100,87,16,1,1,7,7,11,7,13,87,Y,SEATTLE PUBLIC SCHOOLS,5511 15 AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLIP,2015-16,30,93.3,3.3,0,3.3,0,0,3.3,0,0,0,0,0,28,1,0,1,0,0,1,0,0,0,0,0,Y,RIVERVIEW SCHOOL DISTRICT,32302 NE 50TH ST,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVER CREEK ELEMENTARY,2015-16,688,93.8,2.6,0.4,1.9,0.3,0,2,2,2,2.2,1.5,1.9,645,18,3,13,2,0,14,14,14,15,10,13,Y,BETHEL SCHOOL DISTRICT,16715 36TH AVE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
CLOVER PARK HIGH SCHOOL,2015-16,1181,83.7,0.6,0.1,0.3,0.3,0,0.6,0.3,0.4,0.5,0.6,0,988,7,1,3,3,0,7,4,5,6,7,0,Y,CLOVER PARK SCHOOL DISTRICT,11023 GRAVELLY LK DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
CLOVIS POINT,2015-16,605,98.7,0.2,0,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.2,597,1,0,1,0,0,1,1,1,1,1,1,Y,EASTMONT SCHOOL DISTRICT,1855 4TH ST SE,EAST WENATCHEE,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-7,N,Y
CLYDE HILL ELEMENTARY,2015-16,627,84.5,6.1,1.1,4.9,0,0,1.9,1.9,2.6,2.6,3.5,4,530,38,7,31,0,0,12,12,16,16,22,25,Y,BELLEVUE SCHOOL DISTRICT,9601 NE 24TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
COLBERT ELEMENTARY SCHOOL,2015-16,546,91.8,5.3,0.7,4,0.4,0.2,2.9,2.9,3.1,3.1,3.3,4.9,501,29,4,22,2,1,16,16,17,17,18,27,Y,MEAD SCHOOL DISTRICT,4625 E GREENBLUFF RD,COLBERT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
COLFAX PUBLIC SCHOOLS,2015-16,596,92.4,2.5,0,2.5,0,0,1.5,1.5,1.7,1.2,1.8,1.7,551,15,0,15,0,0,9,9,10,7,11,10,Y,COLFAX SCHOOL DISTRICT,1110 N. MORTON STREET,COLFAX,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y
COLLEGE PLACE ELEMENTARY,2015-16,468,88.2,3.4,0.9,1.7,0.2,0.6,3,3,3.2,2.8,2.4,3,413,16,4,8,1,3,14,14,15,13,11,14,Y,EDMONDS SCHOOL DISTRICT,20401 76TH AVE W,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
COLLEGE PLACE HIGH SCHOOL,2015-16,221,85.1,3.6,0,3.6,0,0,3.2,2.3,2.3,2.7,2.3,0,188,8,0,8,0,0,7,5,5,6,5,0,Y,COLLEGE PLACE SCHOOL DISTRICT,1755 S. COLLEGE AVENUE,COLLEGE PLACE,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COLLEGE PLACE MIDDLE SCHOOL,2015-16,490,87.3,6.7,0.4,5.9,0.4,0.2,3.3,2.2,3.1,3.3,2.9,4.1,428,33,2,29,2,1,16,11,15,16,14,20,Y,EDMONDS SCHOOL DISTRICT,7501 208TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
COLLINS ELEMENTARY,2015-16,400,95.5,4.5,1.5,2.5,0,0.5,3.5,3.5,4,3,2.3,4,382,18,6,10,0,2,14,14,16,12,9,16,Y,FRANKLIN PIERCE SCHOOL DISTRICT,4608 128TH ST E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
COLTON SCHOOL,2015-16,136,93.4,2.9,0,1.5,1.5,0,2.9,2.9,2.2,2.2,2.2,2.2,127,4,0,2,2,0,4,4,3,3,3,3,Y,COLTON SCHOOL DISTRICT,706 UNION,COLTON,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA ADVENTIST ACADEMY,2015-16,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,Y,BATTLE GROUND SCHOOL DISTRICT,11100 NE 189TH ST,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA BASIN SECONDARY SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,MOSES LAKE SCHOOL DISTRICT,6527 PATTON BLVD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-12,N,Y
COLUMBIA CREST ELEMENTARY SCHOOL,2015-16,194,80.9,7.7,3.6,3.6,0.5,0,5.7,5.7,5.2,5.2,5.2,5.7,157,15,7,7,1,0,11,11,10,10,10,11,Y,EATONVILLE SCHOOL DISTRICT,24503 STATE ROUTE 706 E,ASHFORD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
COLUMBIA ELEMENTARY,2015-16,352,94.9,3.7,1.1,2.3,0.3,0,3.1,3.1,2.6,3.1,2.8,3.1,334,13,4,8,1,0,11,11,9,11,10,11,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
COLUMBIA ELEMENTARY,2015-16,530,91.7,5.5,0.6,5.1,0.6,0,4,4,4.5,4.2,3.2,4.3,486,29,3,27,3,0,21,21,24,22,17,23,Y,MUKILTEO SCHOOL DISTRICT,10520 HARBOUR POINTE BLVD,MUKILTEO,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2015-16,288,72.2,15.6,4.5,11.1,0,0,4.9,4.9,5.6,9.4,13.2,10.4,208,45,13,32,0,0,14,14,16,27,38,30,Y,BELLINGHAM SCHOOL DISTRICT,2508 UTTER ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
COLUMBIA ELEMENTARY SCHOOL,2015-16,469,97.2,0.6,0,0.6,0,0,0,0,0.2,0.2,0.4,0.4,456,3,0,3,0,0,0,0,1,1,2,2,Y,WENATCHEE SCHOOL DISTRICT,600 ALASKA ST,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
COLUMBIA GORGE SCHOOL,2015-16,9,88.9,11.1,0,11.1,0,0,11.1,11.1,11.1,11.1,11.1,11.1,8,1,0,1,0,0,1,1,1,1,1,1,Y,STEVENSON-CARSON SCHOOL DISTRICT,441 HOT SPRINGS AVENUE,CARSON,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K-12,Y,Y
COLUMBIA HEIGHTS ELEMENTARY,2015-16,355,96.1,3.1,0.8,2,0,0.3,2,2,2,1.7,0.8,1.7,341,11,3,7,0,1,7,7,7,6,3,6,Y,LONGVIEW SCHOOL DISTRICT,2820 PARKVIEW DRIVE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA HIGH AND ELEMENTARY,2015-16,157,91.7,8.3,0,8.3,0,0,7.6,7.6,5.7,7,5.1,3.8,144,13,0,13,0,0,12,12,9,11,8,6,Y,COLUMBIA (STEVENS) SCHOOL DISTRICT,PO BOX 7,HUNTERS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-12,Y,Y
COLUMBIA HIGH SCHOOL,2015-16,290,92.4,5.9,0.7,5.2,0.3,0,5.2,4.8,3.1,2.4,2.1,0,268,17,2,15,1,0,15,14,9,7,6,0,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
COLUMBIA HIGH SCHOOL,2015-16,387,93.5,5.2,0.5,3.9,0.5,0.3,2.3,2.3,3.6,3.4,3.9,0,362,20,2,15,2,1,9,9,14,13,15,0,Y,WHITE SALMON VALLEY SCHOOL DISTRICT,PO BOX 1339,WHITE SALMON,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
COLUMBIA JUNIOR HIGH SCHOOL,2015-16,550,68.4,3.3,0.4,2.7,0.2,0,2.2,2.2,1.8,1.3,0.5,0.5,376,18,2,15,1,0,12,12,10,7,3,3,Y,FIFE SCHOOL DISTRICT,2901 54TH AVENUE E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
COLUMBIA MIDDLE SCHOOL,2015-16,186,93.5,6.5,0.5,4.3,1.6,0,5.9,5.4,4.8,4.8,4.8,5.4,174,12,1,8,3,0,11,10,9,9,9,10,Y,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,755 MAPLE STREET,BURBANK,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
COLUMBIA RIDGE ELEMENTARY,2015-16,475,97.5,2.1,0.4,1.1,0.2,0.6,1.5,1.5,1.5,1.5,1.1,2.1,463,10,2,5,1,3,7,7,7,7,5,10,Y,EPHRATA SCHOOL DISTRICT,60 H SE,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N
COLUMBIA RIVER HIGH,2015-16,1213,94.8,4.9,0.2,4.2,0.5,0.1,3.1,2.6,3.1,2.4,2.8,0,1150,60,3,51,6,1,38,32,38,29,34,0,Y,VANCOUVER SCHOOL DISTRICT,800 NW 99TH ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
DIXIE ELEMENTARY SCHOOL,2015-16,27,96.3,3.7,0,3.7,3.7,0,3.7,3.7,3.7,3.7,3.7,3.7,26,1,0,1,1,0,1,1,1,1,1,1,Y,DIXIE SCHOOL DISTRICT,PO BOX 40,DIXIE,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
COLUMBIA VALLEY ELEMENTARY,2015-16,563,65.4,3.7,0.5,2.7,0,0.5,3,3.2,3.2,2.8,3,3.6,368,21,3,15,0,3,17,18,18,16,17,20,Y,EVERGREEN SCHOOL DISTRICT (CLARK),17500 SE SEQUOIA CR,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLUMBIA VALLEY GARDEN ELEM SCHL,2015-16,515,96.1,3.1,0.4,2.3,0.4,0,2.7,2.5,2.3,2.3,2.1,2.3,495,16,2,12,2,0,14,13,12,12,11,12,Y,LONGVIEW SCHOOL DISTRICT,2644 30TH AVENUE,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
COLVILLE JUNIOR HIGH SCHOOL,2015-16,404,83.2,15.6,1.5,12.6,1.2,0.2,11.9,9.9,9.2,9.7,8.9,11.4,336,63,6,51,5,1,48,40,37,39,36,46,Y,COLVILLE SCHOOL DISTRICT,990 S CEDAR ST,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
COLVILLE SENIOR HIGH SCHOOL,2015-16,565,88.7,11,0.5,9.4,0.7,0.4,9.7,9.4,8,6.7,7.4,0,501,62,3,53,4,2,55,53,45,38,42,0,Y,COLVILLE SCHOOL DISTRICT,154 HIGHWAY 20 E,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
COLVILLE VALLEY JUNIOR ACADEMY,2015-16,33,66.7,33.3,0,30.3,3,0,9.1,9.1,12.1,9.1,12.1,12.1,22,11,0,10,1,0,3,3,4,3,4,4,Y,COLVILLE SCHOOL DISTRICT,139 E CEDAR LP,COLVILLE,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y
COMM BASED TRANS PROGRAM,2015-16,48,97.9,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,601 S 8TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,11-12,N,N
COMMUNITY CHRISTIAN ACADEMY,2015-16,191,94.8,3.1,0,3.1,0,0,2.6,2.6,2.6,2.6,2.6,3.1,181,6,0,6,0,0,5,5,5,5,5,6,Y,NORTH THURSTON PUBLIC SCHOOLS,4706 PARK CENTER AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y
COMMUNITY MONTESSORI,2015-16,5,80,20,20,0,0,0,20,20,20,20,20,20,4,1,1,0,0,0,1,1,1,1,1,1,Y,TACOMA SCHOOL DISTRICT,1407 SOUTH I ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
COMMUNITY SCHOOL,2015-16,71,85.9,14.1,4.2,9.9,0,0,9.9,9.9,11.3,9.9,12.7,11.3,61,10,3,7,0,0,7,7,8,7,9,8,Y,LAKE WASHINGTON SCHOOL DISTRICT,11133 NE 65TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-5,N,N
COMPASS HIGH SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,913 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
CONCORD INTERNATIONAL SCHOOL,2015-16,402,87.1,2.7,1.7,1.7,0,0,1.2,1.2,1.5,1.5,2,2,350,11,7,7,0,0,5,5,6,6,8,8,Y,SEATTLE PUBLIC SCHOOLS,723 S CONCORD ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
CONCORDIA LUTHERAN SCHOOL,2015-16,41,97.6,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,7040 36TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCORDIA LUTHERAN SCHOOL,2015-16,139,91.4,8.6,0.7,7.9,0,0,5,5,2.9,2.2,1.4,4.3,127,12,1,11,0,0,7,7,4,3,2,6,Y,TACOMA SCHOOL DISTRICT,202 E 56TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
CONCRETE ELEMENTARY,2015-16,259,88,10.8,1.5,8.1,0.4,0.8,6.6,6.2,7.7,7.3,6.6,9.3,228,28,4,21,1,2,17,16,20,19,17,24,Y,CONCRETE SCHOOL DISTRICT,7838 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
CONCRETE HIGH SCHOOL,2015-16,266,89.5,8.6,0.8,6.4,1.1,0.8,4.5,3.4,2.6,3.8,4.1,3,238,23,2,17,3,2,12,9,7,10,11,8,Y,CONCRETE SCHOOL DISTRICT,7830 S SUPERIOR AVE,CONCRETE,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
CONNELL ELEM,2015-16,522,89.1,1.5,0.4,1.1,0,0,0.8,0.8,1,0.8,0.4,1.5,465,8,2,6,0,0,4,4,5,4,2,8,Y,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y
CONNELL HIGH SCHOOL,2015-16,596,91.4,2.3,0,2.3,0,0,2.3,1.7,1.3,1.5,1.2,0,545,14,0,14,0,0,14,10,8,9,7,0,Y,NORTH FRANKLIN SCHOOL DISTRICT,PO BOX 829,CONNELL,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
CONTINUOUS CURRICULUM SCHOOL,2015-16,525,89.3,9.3,2.9,6.3,0.6,0,6.5,6.5,6.1,5.9,5.7,6.9,469,49,15,33,3,0,34,34,32,31,30,36,Y,EAST VALLEY SCHOOL DISTRICT (SPOKANE),16924 E WELLESLEY,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
CONWAY SCHOOL,2015-16,440,92,8,3.2,5.2,0,0,3.4,3.4,1.8,4.1,1.8,1.6,405,35,14,23,0,0,15,15,8,18,8,7,Y,CONWAY SCHOOL DISTRICT,19710 STATE ROUTE 564,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
