School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
BEMISS,2015-16,578,93.3,5.9,1.4,3.6,1,0.3,4.7,4.7,4,4.2,3.5,4.8,539,34,8,21,6,2,27,27,23,24,20,28,Y,SPOKANE SCHOOL DISTRICT,2323 E BRIDGEPORT AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
BENGE ELEMENTARY,2015-16,14,64.3,35.7,0,35.7,0,0,14.3,14.3,21.4,14.3,21.4,35.7,9,5,0,5,0,0,2,2,3,2,3,5,Y,BENGE SCHOOL DISTRICT,2978 E. BENGE-WINONA RD.,BENGE,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
BENJAMIN FRANKLIN ELEMENTARY,2015-16,370,92.4,5.9,0,5.9,0,0,3.5,3.5,3.5,4.3,4.9,4.3,342,22,0,22,0,0,13,13,13,16,18,16,Y,VANCOUVER SCHOOL DISTRICT,5206 FRANKLIN ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
BENNETT ELEMENTARY SCHOOL,2015-16,441,91.6,6.1,2.5,3.9,0,0,1.6,1.6,2.5,1.6,2.9,3.9,404,27,11,17,0,0,7,7,11,7,13,17,Y,BELLEVUE SCHOOL DISTRICT,17900 NE 16TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BENSON HILL ELEMENTARY SCHOOL,2015-16,564,93.1,3.5,0.5,2.5,0.4,0.4,3,3,3,3,2.3,3.2,525,20,3,14,2,2,17,17,17,17,13,18,Y,RENTON SCHOOL DISTRICT,18665 116TH AVE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
BERNEY ELEMENTARY SCHOOL,2015-16,432,95.6,3.7,0.5,2.5,0.5,0.2,2.1,2.1,2.8,2.5,2.1,3.2,413,16,2,11,2,1,9,9,12,11,9,14,Y,WALLA WALLA PUBLIC SCHOOLS,1718 PLEASANT ST,WALLA WALLA,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
BERTSCHI SCHOOL,2015-16,220,88.2,11.8,0,11.4,0.5,0,1.8,2.3,5.9,6.8,8.6,7.7,194,26,0,25,1,0,4,5,13,15,19,17,Y,SEATTLE PUBLIC SCHOOLS,2227 10TH AVE E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
BESS HERIAN ELEMENTARY,2015-16,95,76.8,17.9,5.3,11.6,1.1,0,11.6,11.6,11.6,11.6,13.7,17.9,73,17,5,11,1,0,11,11,11,11,13,17,Y,CUSICK SCHOOL DISTRICT,305 MONUMENTAL WAY,CUSICK,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y
BETHANY LUTHERAN ELEMENTARY,2015-16,75,97.3,2.7,1.3,1.3,0,0,2.7,2.7,2.7,2.7,1.3,2.7,73,2,1,1,0,0,2,2,2,2,1,2,Y,SOUTH KITSAP SCHOOL DISTRICT,151 TREMONT ST W,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y
BETHEL HIGH SCHOOL,2015-16,1709,96.7,2.5,0.5,1.6,0.3,0.1,1.8,1.3,1.5,1.1,1.2,0,1653,42,9,28,5,1,30,22,26,18,21,0,Y,BETHEL SCHOOL DISTRICT,22215 38TH AVE E,SPANAWAY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N
BETHEL MIDDLE SCHOOL,2015-16,645,78.8,5.1,1.1,3.6,0.3,0.2,3.3,2.6,1.7,2.3,2.2,3.1,508,33,7,23,2,1,21,17,11,15,14,20,Y,BETHEL SCHOOL DISTRICT,22201 38TH AVENUE EAST,SPANAWAY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
BETHLEHEM CHRISTIAN SCHOOL,2015-16,27,92.6,7.4,0,7.4,0,0,3.7,3.7,7.4,7.4,7.4,7.4,25,2,0,2,0,0,1,1,2,2,2,2,Y,MARYSVILLE SCHOOL DISTRICT,7215 51ST AVE NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
BETHLEHEM LUTHERAN SCHOOL,2015-16,176,97.2,1.1,0,1.1,0,0,1.1,1.1,1.1,1.1,1.1,1.1,171,2,0,2,0,0,2,2,2,2,2,2,Y,KENNEWICK SCHOOL DISTRICT,2505 W 27TH AVE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y
BETZ ELEMENTARY,2015-16,414,92.5,6.5,1.2,5.3,0,0,4.3,4.3,4.1,4.1,3.6,5.8,383,27,5,22,0,0,18,18,17,17,15,24,Y,CHENEY SCHOOL DISTRICT,317 N 7TH,CHENEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N
BEVERLY ELEMENTARY,2015-16,552,91.8,6.5,1.8,4.2,0.5,0.2,4.9,4.7,5.1,4.9,4.2,5.1,507,36,10,23,3,1,27,26,28,27,23,28,Y,EDMONDS SCHOOL DISTRICT,5221 168TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
