School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
ECHO LAKE ELEMENTARY SCHOOL,2014-15,489,91,8.6,0.4,7.8,0.2,0.2,5.3,5.3,6.7,7,6.7,7.6,445,42,2,38,1,1,26,26,33,34,33,37,Y,19345 WALLINGFORD AVE. N.,SHORELINE,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
ECKSTEIN MIDDLE SCHOOL,2014-15,885,82.6,9.4,4.5,5,0.3,0,2.9,2.9,2.3,2.6,4,6.8,731,83,40,44,3,0,26,26,20,23,35,60,Y,3003 NE 75 ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
EDGEMONT JR HIGH,2014-15,390,93.8,4.4,0.3,4.1,0,0,2.3,3.1,2.3,2.3,1.8,2.3,366,17,1,16,0,0,9,12,9,9,7,9,Y,2300 110TH AVE E,EDGEWOOD,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43290,N,N,,,
EDGERTON ELEMENTARY,2014-15,755,91.8,5.7,0.8,4.5,0.4,0,2.6,1.3,3.4,3.2,2.9,4.1,693,43,6,34,3,0,20,10,26,24,22,31,Y,16528 127TH AVE CT E,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,,,
EDISON (7/8),2014-15,113,85.8,12.4,0.9,10.6,0.9,0,6.2,4.4,7.1,6.2,7.1,0,97,14,1,12,1,0,7,5,8,7,8,0,Y,577 MAIN AVE,BOW,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43289,N,N,,,
EDISON ELEMENTARY,2014-15,342,93.9,4.1,1.2,2.6,0.3,0,2.6,2.6,3.5,3.2,3.2,3.5,321,14,4,9,1,0,9,9,12,11,11,12,Y,607 H STREET,CENTRALIA,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -3,Y,N,,,
EDISON ELEMENTARY,2014-15,371,87.1,8.9,1.1,7.8,0,0,4.6,4.6,4.9,4.9,7.5,7.3,323,33,4,29,0,0,17,17,18,18,28,27,Y,5801 MAIN ST,EDISON,BURLINGTON-EDISON SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-6,Y,Y,,,
EDISON ELEMENTARY SCHOOL,2014-15,464,95.7,1.7,0,1.5,0.2,0.2,0.2,0.2,0.6,0.9,0.6,1.5,444,8,0,7,1,1,1,1,3,4,3,7,Y,1315 E ALDER ST,WALLA WALLA,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
EDISON ELEMENTARY SCHOOL,2014-15,506,97.2,2.8,0.2,2,0.4,0.4,2,2,2.4,1.6,1.4,2.2,492,14,1,10,2,2,10,10,12,8,7,11,Y,5830 S PINE ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
EDISON ELEMENTARY SCHOOL,2014-15,619,97.6,1.6,0.2,1.5,0,0,0.6,0.5,0.6,0.5,1,1.1,604,10,1,9,0,0,4,3,4,3,6,7,Y,201 SOUTH DAWES STREET,KENNEWICK,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N,,,
EDMONDS ELEMENTARY,2014-15,351,94.6,5.1,1.1,4.3,0,0,3.1,3.1,3.4,2.8,2.6,4.6,332,18,4,15,0,0,11,11,12,10,9,16,Y,1215 OLYMPIC AVENUE,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
EDMONDS HEIGHTS K-12,2014-15,508,53.9,26,0.6,24.4,1.4,0,18.1,16.1,19.9,18.7,19.1,13.4,274,132,3,124,7,0,92,82,101,95,97,68,Y,23200 100TH AVE W,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,,,
EDMONDS INDEPENDENT LEARNING,2014-15,93,69.9,5.4,0,5.4,0,0,3.2,2.2,5.4,2.2,3.2,0,65,5,0,5,0,0,3,2,5,2,3,0,Y,20420 68TH AVE W,LYNNWOOD,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43293,N,N,,,
EDMONDS WOODWAY HIGH SCHOOL,2014-15,1695,93.3,4.7,0.5,4.1,0.2,0,2.6,2,2.7,2.1,2.5,0,1581,79,8,70,4,0,44,34,45,35,42,0,Y,7600  212TH STREET SW,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
EDUCATIONAL OPPORTUNITY CENTER,2014-15,133,79.7,1.5,0.8,0.8,0,0,0.8,0.8,0.8,0,0,0,106,2,1,1,0,0,1,1,1,0,0,0,Y,1284 CHESTNUT ST,CLARKSTON,CLARKSTON SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,43293,N,N,,,
EDWIN MARKHAM ELEMENTARY,2014-15,290,94.8,3.1,0,2.4,0.7,0,1.7,1.7,2.4,1.7,1.7,2.4,275,9,0,7,2,0,5,5,7,5,5,7,Y,4031 ELM ROAD,PASCO,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
EDWIN R OPSTAD ELEMENTARY,2014-15,624,89.1,7.7,0.6,7.1,0,0,4.5,4.3,5.4,5.3,5.9,7.1,556,48,4,44,0,0,28,27,34,33,37,44,Y,1345 STILLSON AVE SE,NORTH BEND,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
EINSTEIN ELEMENTARY,2014-15,482,79.5,3.5,1,2.5,0,0,2.5,2.5,2.3,2.3,2.3,2.1,383,17,5,12,0,0,12,12,11,11,11,10,Y,18025 NE 116TH,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
EISENHOWER HIGH SCHOOL,2014-15,2008,97.5,1.8,0.1,1.4,0.3,0.1,1.4,1.1,1.2,0.9,1.1,0,1957,37,2,28,6,2,28,22,24,18,22,0,Y,702 S 40TH AVE,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,43355,N,N,,,
EISENHOWER MIDDLE SCHOOL,2014-15,818,94.3,5.7,0.6,4.8,0.4,0,4.2,0,3.2,3.3,2.9,3.8,771,47,5,39,3,0,34,0,26,27,24,31,Y,10200 25TH AVE. SE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,,
EISMANN ELEMENTARY,2014-15,447,92.2,6.7,1.3,5.1,0.2,0,4,4,5.4,4.3,4.7,5.8,412,30,6,23,1,0,18,18,24,19,21,26,Y,13802 CANYON VIEW BLVD. EAST,BONNEY LAKE,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ELGER BAY ELEMENTARY,2014-15,295,75.3,10.5,2.7,8.1,0,0,4.1,4.4,5.8,5.1,6.1,9.5,222,31,8,24,0,0,12,13,17,15,18,28,Y,1810 ELGER BAY RD,CAMANO ISLAND,STANWOOD-CAMANO SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
ELK PLAIN SCHOOL OF CHOICE,2014-15,516,74.4,5.2,1.7,3.1,0.4,0.2,2.3,2.7,2.3,1.9,2.3,3.3,384,27,9,16,2,1,12,14,12,10,12,17,Y,22015 22ND AVE E,SPANAWAY,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
ELK RIDGE ELEMENTARY,2014-15,336,89.6,8,5.7,2.4,0,0,5.7,5.1,5.7,5.4,3.6,6,301,27,19,8,0,0,19,17,19,18,12,20,Y,PO BOX 1685,BUCKLEY,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ELLENSBURG CHRISTIAN SCHOOL,2014-15,90,88.9,11.1,0,11.1,0,0,8.9,8.9,8.9,8.9,8.9,11.1,80,10,0,10,0,0,8,8,8,8,8,10,Y,407 S ANDERSON ST,ELLENSBURG,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K-8,Y,Y,,,
ELLENSBURG HIGH SCHOOL,2014-15,950,91.5,2.9,0,2.8,0.1,0.1,2.1,1.8,2.3,2.1,2.2,0,869,28,0,27,1,1,20,17,22,20,21,0,Y,1203 E CAPITOL,ELLENSBURG,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,43355,N,N,,,
ELLSWORTH ELEMENTARY SCHOOL,2014-15,447,66,2.5,0.2,1.8,0.2,0.2,2,2,2,2.2,2.2,2.5,295,11,1,8,1,1,9,9,9,10,10,11,Y,512 SE ELLSWORTH AVENUE,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
ELMA ELEMENTARY SCHOOL,2014-15,559,94.5,5.4,1.4,3.9,0,0,2.9,2.9,2.7,2.5,1.6,4.1,528,30,8,22,0,0,16,16,15,14,9,23,Y,1235 MONTE-ELMA RD,ELMA,ELMA SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,,,
ELMA HIGH SCHOOL,2014-15,550,88.2,5.6,0.2,5.3,0.2,0,4.5,4.4,2.7,2.4,2.9,0,485,31,1,29,1,0,25,24,15,13,16,0,Y,1235 ELMA-MONTE RD,ELMA,ELMA SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,43355,N,N,,,
ELMA MIDDLE SCHOOL,2014-15,326,76.7,11,0.3,10.1,0.6,0,6.1,6.1,4.9,3.7,2.5,4.3,250,36,1,33,2,0,20,20,16,12,8,14,Y,1235 MONTE-ELMA RD.,ELMA,ELMA SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,43259,N,Y,,,
ELMHURST ELEMENTARY SCHOOL,2014-15,418,98.6,1.4,0,1.2,0.2,0,1,1,0.5,0.7,0.7,1.9,412,6,0,5,1,0,4,4,2,3,3,8,Y,420 133RD ST E,TACOMA,FRANKLIN PIERCE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
EMERALD CITY SCHOOL,2014-15,1,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Y,520 DENNY WAY,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43106,N,Y,,,
EMERALD HEIGHTS ACADEMY,2014-15,38,81.6,18.4,0,18.4,0,0,10.5,10.5,13.2,13.2,18.4,18.4,31,7,0,7,0,0,4,4,5,5,7,7,Y,3850 - 156TH AVE SE,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,,,
EMERALD HEIGHTS ELEMENTARY,2014-15,614,92.5,3.4,1.5,2,0,0,1.6,1.6,1.8,1.6,1.8,2.4,568,21,9,12,0,0,10,10,11,10,11,15,Y,1260 PINNACLE COURT,SILVERDALE,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y,,,
EMERALD HILLS ELEMENTARY,2014-15,358,86.9,7,1.4,5.9,0,0,5.6,5,4.7,4.5,4.5,5.9,311,25,5,21,0,0,20,18,17,16,16,21,Y,19515 S TAPPS DR E,BONNEY LAKE,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
EMERALD PARK ELEMENTARY SCHOOL,2014-15,488,92.8,2.3,1,1,0.2,0,1.4,1.4,1.6,1.6,1.6,2,453,11,5,5,1,0,7,7,8,8,8,10,Y,11800 SE 216TH ST,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
EMERALD RIDGE HIGH SCHOOL,2014-15,1597,94.3,4.6,0.2,4.3,0.1,0.1,1.8,2.7,1.9,2.1,2.3,1.6,1506,74,3,68,2,1,28,43,30,33,36,26,Y,12405 184TH ST E,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43385,N,N,,,
EMERSON ELEMENTARY,2014-15,239,46,0.4,0.4,0,0,0,0,0,0,0,0,0.4,110,1,1,0,0,0,0,0,0,0,0,1,Y,101 W EMERSON,HOQUIAM,HOQUIAM SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -1,Y,N,,,
EMERSON ELEMENTARY,2014-15,341,87.1,8.5,3.8,5,0.3,0,4.4,4.4,5.6,4.7,4.4,7,297,29,13,17,1,0,15,15,19,16,15,24,Y,1103 PINE STREET,SNOHOMISH,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43165,N,Y,,,
EMERSON ELEMENTARY,2014-15,561,98.6,0.9,0.5,0.4,0,0,0.7,0.7,0.7,0.7,0.9,0.7,553,5,3,2,0,0,4,4,4,4,5,4,Y,1616 W OCTAVE ST,PASCO,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,43105,N,N,,,
EMERSON ELEMENTARY SCHOOL,2014-15,274,81,2.9,2.6,0.4,0,0,0.7,0.7,0.7,1.1,1.5,1.8,222,8,7,1,0,0,2,2,2,3,4,5,Y,9709 60 AV S,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
LUMMI HIGH SCHOOL,2014-15,100,98,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,Y,2334 LUMMI VIEW DR.,BELLINGHAM,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
EMERSON ELEMENTARY SCHOOL,2014-15,605,93.6,4.6,0.7,3.6,0.2,0.2,3.8,3.8,3.8,3.6,3.1,4.6,566,28,4,22,1,1,23,23,23,22,19,28,Y,8702 7TH AVENUE SE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
EMERSON HIGH SCHOOL (BEST SR HIGH),2014-15,73,83.6,9.6,1.4,8.2,0,0,6.8,6.8,5.5,4.1,8.2,0,61,7,1,6,0,0,5,5,4,3,6,0,Y,10903 NE 53RD ST,KIRKLAND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
EMERSON K-12 (FAMILY LEARNING CENTER),2014-15,123,65,30.9,2.4,22.8,5.7,0.8,25.2,23.6,23.6,22.8,24.4,11.4,80,38,3,28,7,1,31,29,29,28,30,14,Y,10903 NE 53RD STREET,KIRKLAND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -12,Y,Y,,,
ENATAI ELEMENTARY SCHOOL,2014-15,545,77.2,5.1,0.7,4.4,0,0,2,0,2.2,2.4,2,4.8,421,28,4,24,0,0,11,0,12,13,11,26,Y,10615 SE 23RD STREET,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ENDEAVOR MIDDLE SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,6527 PATTON BLVD,MOSES LAKE,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43263,N,Y,,,
ENDEAVOUR ELEMENTARY,2014-15,509,92.3,5.7,1.8,3.7,0.2,0,3.3,0,3.9,3.1,2.9,5.1,470,29,9,19,1,0,17,0,20,16,15,26,Y,12300 HARBOUR POINTE BLVD,MUKILTEO,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
ENDEAVOUR ELEMENTARY SCHOOL,2014-15,679,72.2,5.7,0.1,4.3,0.9,0.4,4.7,4.9,4.9,5,4.3,5.4,490,39,1,29,6,3,32,33,33,34,29,37,Y,2701 NE FOUR SEASONS LANE,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
ENDEAVOUR ELEMENTARY SCHOOL,2014-15,688,96.1,3.6,0.6,3.1,0,0,1.7,1.9,2,2,2,2.9,661,25,4,21,0,0,12,13,14,14,14,20,Y,26205 SE ISSAQUAH-FALL CITY RD,ISSAQUAH,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ENDEAVOUR INTERMEDIATE,2014-15,572,96.2,3.7,0.3,3.1,0.2,0,3.1,3.1,3.3,3.3,2.6,3.1,550,21,2,18,1,0,18,18,19,19,15,18,Y,1304 17TH AVENUE,MILTON,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43136,N,N,,,
ENDICOTT/ST JOHN ELEM AND MIDDLE,2014-15,103,95.1,4.9,0,4.9,0,0,4.9,4.9,4.9,4.9,2.9,4.9,98,5,0,5,0,0,5,5,5,5,3,5,Y,308 SCHOOL DR,ENDICOTT,ENDICOTT SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y,,,
ENGLISH CROSSING ELEMENTARY,2014-15,338,93.2,5.3,1.5,3.3,0.6,0,4.4,4.4,4.7,4.7,4.7,5,315,18,5,11,2,0,15,15,16,16,16,17,Y,P.O. BOX 50,NORTH LAKEWOOD,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
ENTERPRISE ELEMENTARY SCHOOL,2014-15,472,94.3,2.5,0.4,1.7,0.4,0.2,1.9,1.9,2.3,1.9,1.3,2.5,445,12,2,8,2,1,9,9,11,9,6,12,Y,35101 5TH AVE SW,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
ENTERPRISE MIDDLE SCHOOL,2014-15,1049,96.2,3.8,0.4,3.1,0.4,0,2.8,2.8,2.8,2.5,2.1,2.8,1009,40,4,32,4,0,29,29,29,26,22,29,Y,5200 PARADISE WAY,WEST RICHLAND,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,43259,N,Y,,,
ENTIAT MIDDLE AND HIGH SCHOOL,2014-15,195,92.3,2.6,1,2.1,0,0,2.1,2.1,1.5,1,1,0,180,5,2,4,0,0,4,4,3,2,2,0,Y,2650 ENTIAT WAY,ENTIAT,ENTIAT SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43263,N,Y,,,
ENUMCLAW HIGH SCHOOL,2014-15,1416,89.6,6.3,1,5.2,0.4,0,4.6,4.4,3.5,2.8,3.3,0,1269,89,14,73,5,0,65,62,50,40,47,0,Y,226 SEMANSKI ST SOUTH,ENUMCLAW,ENUMCLAW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43355,N,N,,,
ENUMCLAW MIDDLE SCHOOL,2014-15,453,89.2,6.8,0.4,6,0.9,0,4.4,3.3,3.5,4,4.9,2.6,404,31,2,27,4,0,20,15,16,18,22,12,Y,550 SEMANSKI STREET,ENUMCLAW,ENUMCLAW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
ENVIRONMENTAL AND ADVENTURE SCHOOL,2014-15,143,82.5,4.2,1.4,2.8,0,0,1.4,1.4,2.1,1.4,2.8,1.4,118,6,2,4,0,0,2,2,3,2,4,2,Y,8040 NE 132ND,KIRKLAND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
EPHRATA HIGH SCHOOL,2014-15,705,93,4.1,0.3,3.3,0.7,0,3.3,2.7,2.4,2.4,2.3,0,656,29,2,23,5,0,23,19,17,17,16,0,Y,333 4TH AVE NW,EPHRATA,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43355,N,N,,,
EPHRATA MIDDLE SCHOOL,2014-15,362,87.6,5.2,0,3.3,2.2,0,5,4.4,4.1,5,4.4,0,317,19,0,12,8,0,18,16,15,18,16,0,Y,"384 ""A"" SE",EPHRATA,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43289,N,N,,,
EPIPHANY SCHOOL,2014-15,240,100,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,Y,3611 E DENNY WAY,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,,,
ESQUIRE HILLS ELEMENTARY,2014-15,389,97.2,2.6,0.3,2.3,0,0,1.8,1.8,1.8,1.8,1.5,1.8,378,10,1,9,0,0,7,7,7,7,6,7,Y,2650 NE JOHN CARLSON RD,BREMERTON,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y,,,
ETON SCHOOL,2014-15,186,96.2,3.2,1.1,2.2,0,0,2.2,2.2,2.7,2.2,2.2,3.2,179,6,2,4,0,0,4,4,5,4,4,6,Y,2701 BEL-RED RD,BELLEVUE,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y,,,
EVALINE ELEMENTARY SCHOOL,2014-15,38,81.6,10.5,0,7.9,2.6,0,5.3,5.3,5.3,5.3,5.3,10.5,31,4,0,3,1,0,2,2,2,2,2,4,Y,111 SCHOOLHOUSE ROAD,WINLOCK,EVALINE SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,,,
EVERETT CHRISTIAN SCHOOL,2014-15,68,95.6,4.4,0,4.4,0,0,4.4,4.4,4.4,4.4,4.4,4.4,65,3,0,3,0,0,3,3,3,3,3,3,Y,2221 CEDAR ST,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y,,,
EVERETT HIGH SCHOOL,2014-15,1440,86,13.1,0.3,11.5,1.3,0.3,3.1,3.1,2.3,2.7,2.6,0.3,1238,189,4,166,18,5,45,45,33,39,37,4,Y,2416 COLBY AVE,EVERETT,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
EVERGREEN ACADEMY,2014-15,158,93.7,3.8,1.9,1.9,0,0,2.5,2.5,2.5,1.9,0.6,3.8,148,6,3,3,0,0,4,4,4,3,1,6,Y,16017 118TH PL NE,BOTHELL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y,,,
EVERGREEN ACADEMY OF ARTS & SCIENCES,2014-15,5,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Y,506 S WASHINGTON AVE,CENTRALIA,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y,,,
EVERGREEN CHRISTIAN SCHOOL,2014-15,278,89.6,6.8,0,6.5,0.4,0,4,4,3.2,4.3,3.6,4.7,249,19,0,18,1,0,11,11,9,12,10,13,Y,1010 BLACK LAKE BLVD SW,OLYMPIA,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,,,
EVERGREEN ELEMENTARY,2014-15,243,92.6,7.4,0,7,0.4,0,6.2,6.2,7,6.2,7,7.8,225,18,0,17,1,0,15,15,17,15,17,19,Y,1820 KEY PENINSULA HWY KPS,LAKEBAY,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
EVERGREEN ELEMENTARY,2014-15,472,89.6,2.3,0.4,1.5,0,0.4,1.5,1.5,1.5,1.3,1.3,1.9,423,11,2,7,0,2,7,7,7,6,6,9,Y,1311  172ND ST E,SPANAWAY,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
EVERGREEN ELEMENTARY SCHOOL,2014-15,501,94.4,4.4,1.2,2.2,0.6,0.6,2,2,2.2,2,1.6,3.8,473,22,6,11,3,3,10,10,11,10,8,19,Y,1007 MCGARIGLE ROAD,SEDRO-WOOLLEY,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
EVERGREEN ELEMENTARY SCHOOL,2014-15,544,92.1,2.8,2,0.7,0,0,0.9,1.3,1.1,0.9,1.8,1.3,501,15,11,4,0,0,5,7,6,5,10,7,Y,9010 BLAINE AVE,FORT LEWIS,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
